pokemon_stat_delta_key,pokemon_key,pokemon_id,hp_delta,attack_delta,defense_delta,sp_attack_delta,sp_defense_delta,speed_delta,stat_total_delta,canonical_dataset_version,champions_dataset_version,source_name,source_url,extracted_at_utc,dataset_version
furfrou-delta,furfrou,676,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
meowstic-male-delta,meowstic-male,678,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
aegislash-shield-delta,aegislash-shield,681,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
aromatisse-delta,aromatisse,683,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
slurpuff-delta,slurpuff,685,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
malamar-delta,malamar,687,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
barbaracle-delta,barbaracle,689,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
dragalge-delta,dragalge,691,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
clawitzer-delta,clawitzer,693,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
heliolisk-delta,heliolisk,695,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
tyrantrum-delta,tyrantrum,697,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
aurorus-delta,aurorus,699,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
sylveon-delta,sylveon,700,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
hawlucha-delta,hawlucha,701,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
dedenne-delta,dedenne,702,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
goodra-delta,goodra,706,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
klefki-delta,klefki,707,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
trevenant-delta,trevenant,709,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gourgeist-average-delta,gourgeist-average,711,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
avalugg-delta,avalugg,713,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
noivern-delta,noivern,715,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
decidueye-delta,decidueye,724,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
incineroar-delta,incineroar,727,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
primarina-delta,primarina,730,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
toucannon-delta,toucannon,733,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
crabominable-delta,crabominable,740,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
lycanroc-midday-delta,lycanroc-midday,745,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
toxapex-delta,toxapex,748,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
mudsdale-delta,mudsdale,750,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
araquanid-delta,araquanid,752,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
salazzle-delta,salazzle,758,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
tsareena-delta,tsareena,763,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
oranguru-delta,oranguru,765,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
passimian-delta,passimian,766,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
mimikyu-disguised-delta,mimikyu-disguised,778,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
drampa-delta,drampa,780,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
kommo-o-delta,kommo-o,784,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
corviknight-delta,corviknight,823,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
flapple-delta,flapple,841,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
appletun-delta,appletun,842,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
sandaconda-delta,sandaconda,844,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
polteageist-delta,polteageist,855,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
hatterene-delta,hatterene,858,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
grimmsnarl-delta,grimmsnarl,861,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
mr-rime-delta,mr-rime,866,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
runerigus-delta,runerigus,867,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
alcremie-delta,alcremie,869,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
falinks-delta,falinks,870,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
morpeko-full-belly-delta,morpeko-full-belly,877,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
dragapult-delta,dragapult,887,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
wyrdeer-delta,wyrdeer,899,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
kleavor-delta,kleavor,900,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
basculegion-male-delta,basculegion-male,902,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
sneasler-delta,sneasler,903,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
overqwil-delta,overqwil,904,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
meowscarada-delta,meowscarada,908,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
skeledirge-delta,skeledirge,911,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
quaquaval-delta,quaquaval,914,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
maushold-family-of-four-delta,maushold-family-of-four,925,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
garganacl-delta,garganacl,934,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
armarouge-delta,armarouge,936,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
ceruledge-delta,ceruledge,937,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
bellibolt-delta,bellibolt,939,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
scovillain-delta,scovillain,952,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
espathra-delta,espathra,956,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
tinkaton-delta,tinkaton,959,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
palafin-zero-delta,palafin-zero,964,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
orthworm-delta,orthworm,968,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
glimmora-delta,glimmora,970,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
houndstone-delta,houndstone,972,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
annihilape-delta,annihilape,979,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
farigiraf-delta,farigiraf,981,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
kingambit-delta,kingambit,983,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gholdengo-delta,gholdengo,1000,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
sinistcha-delta,sinistcha,1013,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
archaludon-delta,archaludon,1018,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
hydrapple-delta,hydrapple,1019,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
rotom-heat-delta,rotom-heat,479,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
rotom-wash-delta,rotom-wash,479,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
rotom-frost-delta,rotom-frost,479,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
rotom-fan-delta,rotom-fan,479,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
rotom-mow-delta,rotom-mow,479,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
meowstic-female-delta,meowstic-female,678,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
aegislash-blade-delta,aegislash-blade,681,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gourgeist-small-delta,gourgeist-small,711,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gourgeist-large-delta,gourgeist-large,711,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gourgeist-super-delta,gourgeist-super,711,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
venusaur-mega-delta,venusaur-mega,3,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
charizard-mega-x-delta,charizard-mega-x,6,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
charizard-mega-y-delta,charizard-mega-y,6,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
blastoise-mega-delta,blastoise-mega,9,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
alakazam-mega-delta,alakazam-mega,65,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gengar-mega-delta,gengar-mega,94,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
kangaskhan-mega-delta,kangaskhan-mega,115,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
pinsir-mega-delta,pinsir-mega,127,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gyarados-mega-delta,gyarados-mega,130,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
aerodactyl-mega-delta,aerodactyl-mega,142,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
ampharos-mega-delta,ampharos-mega,181,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
scizor-mega-delta,scizor-mega,212,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
heracross-mega-delta,heracross-mega,214,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
houndoom-mega-delta,houndoom-mega,229,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
tyranitar-mega-delta,tyranitar-mega,248,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
blaziken-mega-delta,blaziken-mega,257,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gardevoir-mega-delta,gardevoir-mega,282,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
mawile-mega-delta,mawile-mega,303,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
aggron-mega-delta,aggron-mega,306,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
medicham-mega-delta,medicham-mega,308,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
manectric-mega-delta,manectric-mega,310,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
banette-mega-delta,banette-mega,354,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
absol-mega-delta,absol-mega,359,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
garchomp-mega-delta,garchomp-mega,445,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
lucario-mega-delta,lucario-mega,448,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
abomasnow-mega-delta,abomasnow-mega,460,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
floette-eternal-delta,floette-eternal,670,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
swampert-mega-delta,swampert-mega,260,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
sceptile-mega-delta,sceptile-mega,254,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
sableye-mega-delta,sableye-mega,302,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
altaria-mega-delta,altaria-mega,334,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gallade-mega-delta,gallade-mega,475,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
audino-mega-delta,audino-mega,531,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
sharpedo-mega-delta,sharpedo-mega,319,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
slowbro-mega-delta,slowbro-mega,80,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
steelix-mega-delta,steelix-mega,208,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
pidgeot-mega-delta,pidgeot-mega,18,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
glalie-mega-delta,glalie-mega,362,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
metagross-mega-delta,metagross-mega,376,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
camerupt-mega-delta,camerupt-mega,323,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
